ap_car,ap_cat,ap_chair,ap_dog,ap_person,checkpoint,checkpoint_path,conf_thresh,mAP@0.5,max_det,micro_precision,micro_recall,mode,nms_iou_thresh,num_predictions,precision_car,precision_cat,precision_chair,precision_dog,precision_person,recall_car,recall_cat,recall_chair,recall_dog,recall_person
0.312265,0.825805,0.423375,0.823044,0.631007,phase2,checkpoints/best_map_resnet50_mse_phase2.pth,0.25,0.603099,50,0.093502,0.869372,classwise_current_max50,0.4,18791,0.042614,0.633745,0.080472,0.39738,0.098779,0.848057,0.875,0.77305,0.883495,0.896648
0.312265,0.825805,0.423375,0.823044,0.631007,phase2,checkpoints/best_map_resnet50_mse_phase2.pth,0.3,0.603099,50,0.093502,0.869372,classwise_current_max50,0.4,18791,0.042614,0.633745,0.080472,0.39738,0.098779,0.848057,0.875,0.77305,0.883495,0.896648
0.312265,0.822049,0.424206,0.823044,0.631007,phase2,checkpoints/best_map_resnet50_mse_phase2.pth,0.35,0.602514,50,0.08393,0.870361,raw_max50,0.4,20958,0.035982,0.68,0.074612,0.39738,0.090482,0.848057,0.869318,0.783688,0.883495,0.896648
0.312008,0.825821,0.423783,0.820857,0.62959,phase2,checkpoints/best_map_resnet50_mse_phase2.pth,0.15,0.602412,30,0.108525,0.860465,classwise_current_max30,0.4,16024,0.051007,0.636364,0.090379,0.397802,0.114142,0.823322,0.875,0.769504,0.878641,0.888268
0.312008,0.825821,0.423783,0.820857,0.62959,phase2,checkpoints/best_map_resnet50_mse_phase2.pth,0.2,0.602412,30,0.108525,0.860465,classwise_current_max30,0.4,16024,0.051007,0.636364,0.090379,0.397802,0.114142,0.823322,0.875,0.769504,0.878641,0.888268
0.312008,0.825821,0.423783,0.820857,0.62959,phase2,checkpoints/best_map_resnet50_mse_phase2.pth,0.25,0.602412,30,0.108525,0.860465,classwise_current_max30,0.4,16024,0.051007,0.636364,0.090379,0.397802,0.114142,0.823322,0.875,0.769504,0.878641,0.888268
0.312008,0.825821,0.423783,0.820857,0.62959,phase2,checkpoints/best_map_resnet50_mse_phase2.pth,0.3,0.602412,30,0.108525,0.860465,classwise_current_max30,0.4,16024,0.051007,0.636364,0.090379,0.397802,0.114142,0.823322,0.875,0.769504,0.878641,0.888268
0.334623,0.806079,0.429162,0.806256,0.635654,phase2,checkpoints/best_map_resnet50_mse_phase2.pth,0.5,0.602355,30,0.133265,0.837704,classwise_current_max30,0.35,12704,0.05899,0.78836,0.114083,0.497175,0.144253,0.809187,0.846591,0.741135,0.854369,0.865922
0.312265,0.822049,0.423375,0.823044,0.631007,phase2,checkpoints/best_map_resnet50_mse_phase2.pth,0.4,0.602348,50,0.093743,0.868877,classwise_current_max50,0.4,18732,0.042614,0.708333,0.080472,0.42723,0.098779,0.848057,0.869318,0.77305,0.883495,0.896648
0.312265,0.822049,0.423375,0.823044,0.631007,phase2,checkpoints/best_map_resnet50_mse_phase2.pth,0.35,0.602348,50,0.093539,0.868877,classwise_current_max50,0.4,18773,0.042614,0.68,0.080472,0.39738,0.098779,0.848057,0.869318,0.77305,0.883495,0.896648
0.312265,0.822049,0.423375,0.823044,0.631007,phase2,checkpoints/best_map_resnet50_mse_phase2.pth,0.4,0.602348,50,0.091401,0.868877,raw_max50,0.4,19212,0.039209,0.708333,0.080472,0.42723,0.098871,0.848057,0.869318,0.77305,0.883495,0.896648
0.334212,0.806079,0.428776,0.806256,0.636413,phase2,checkpoints/best_map_resnet50_mse_phase2.pth,0.5,0.602347,50,0.118873,0.841168,raw_max50,0.35,14301,0.049849,0.784211,0.107843,0.497175,0.130132,0.816254,0.846591,0.741135,0.854369,0.870577
